Model,CV_ROC_AUC,CV_ROC_AUC_STD,Test_ROC_AUC,Test_PR_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Params
XGBoost,0.8509401799379692,0.004189630841540241,0.84159889424396,0.6584424017785083,0.8002842928216063,0.6514657980456026,0.5347593582887701,0.5873715124816447,"{""model__subsample"": 0.7, ""model__n_estimators"": 500, ""model__max_depth"": 4, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 0.8}"
Logistic Regression,0.8486140241482909,0.006084099143264815,0.837787504335537,0.640802847037996,0.7313432835820896,0.49666666666666665,0.7967914438502673,0.6119096509240246,"{""model__solver"": ""lbfgs"", ""model__class_weight"": ""balanced"", ""model__C"": 0.23357214690901212}"
Random Forest,0.8480981803752622,0.0052034706612179875,0.8404121219023559,0.6472503435841751,0.7434257285003554,0.5113438045375218,0.7834224598930482,0.6187961985216474,"{""model__n_estimators"": 500, ""model__min_samples_split"": 5, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8, ""model__class_weight"": ""balanced""}"
